timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1692921600000,61,26180.05,26314.05,25777.15,26060.01,27753.3377,-946.3843,-946.3843,-946.3843,-772.9303,-173.4540,26682.9082,27478.5271,28635.0277,29353.7251,29843.4461,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.6056,708.6120,722.6565,0.7430,0,2023-08-25 00:00:00
1693008000000,62,26060.00,26125.77,25985.92,26017.37,10022.2232,-944.2020,-944.2020,-944.2020,-807.1846,-137.0174,26561.9013,27339.3693,28532.3745,29287.6587,29805.3757,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,16.7659,647.2980,718.9885,0.1945,0,2023-08-26 00:00:00
1693094400000,63,26017.38,26182.23,25966.11,26101.77,12099.6422,-924.9993,-924.9993,-924.9993,-830.7476,-94.2518,26478.2410,27221.5027,28437.0567,29224.5718,29768.5239,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,18.4279,522.6380,701.0070,0.3083,0,2023-08-27 00:00:00
1693180800000,64,26101.78,26253.99,25864.50,26120.00,22692.6266,-897.9590,-897.9590,-897.9590,-844.1898,-53.7691,26413.1063,27116.5977,28346.1917,29163.0951,29732.2202,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,19.1029,399.2460,665.6040,0.5852,0,2023-08-28 00:00:00
1693267200000,65,26120.00,28142.85,25922.00,27716.34,74251.9949,-739.1970,-739.1970,-739.1970,-823.1913,83.9943,26650.0579,27173.7160,28321.4916,29134.4465,29712.1616,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,55.7817,700.6420,737.48,3.0114,0,2023-08-29 00:00:00
1693353600000,66,27716.34,27768.57,27017.24,27299.99,35448.2585,-639.6000,-639.6000,-639.6000,-786.4730,146.8730,26768.2274,27185.7421,28281.4327,29098.1206,29688.1599,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,47.1150,743.5280,754.1565,0.9963,0,2023-08-30 00:00:00
1693440000000,67,27299.99,27587.51,25655.01,25940.78,51032.8040,-662.7063,-662.7063,-662.7063,-761.7197,99.0134,26617.7824,27067.1743,28189.6424,29035.5990,29650.8726,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.1059,1102.0580,835.1780,2.3139,0,2023-08-31 00:00:00
1693526400000,68,25940.77,26156.00,25333.75,25805.05,41032.1506,-684.0848,-684.0848,-684.0848,-746.1927,62.1079,26470.0129,26946.9719,28096.1290,28971.6277,29612.6057,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,14.1092,1223.2840,871.3010,0.9437,0,2023-09-01 00:00:00
1693612800000,69,25805.04,25987.50,25752.47,25869.51,16250.7770,-687.8964,-687.8964,-687.8964,-734.5334,46.6371,26360.8305,26844.3565,28008.8106,28910.1997,29575.3610,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,15.5324,1192.3920,872.9360,0.2692,0,2023-09-02 00:00:00
1693699200000,70,25869.52,26135.00,25800.00,25971.21,17474.4767,-674.9306,-674.9306,-674.9306,-722.6129,47.6823,26289.9904,26761.1997,27928.9047,28852.0018,29539.4988,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,18.5821,815.2220,860.0425,0.3895,0,2023-09-03 00:00:00
1693785600000,71,25971.21,26108.02,25631.21,25826.02,21777.5961,-668.6628,-668.6628,-668.6628,-711.8228,43.1601,26205.6322,26672.1350,27846.4386,28792.0814,29502.5487,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,16.1222,760.3180,861.90,0.5532,0,2023-09-04 00:00:00
1693872000000,72,25826.03,25915.49,25562.62,25792.10,21323.3934,-658.8379,-658.8379,-658.8379,-701.2258,42.3880,26130.4445,26588.3221,27765.8763,28732.6758,29465.6288,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.3076,444.3920,852.7050,0.4138,0,2023-09-05 00:00:00
1693958400000,73,25792.11,26040.00,25372.51,25759.95,27262.5239,-646.1968,-646.1968,-646.1968,-690.2200,44.0232,26063.0819,26509.4295,27687.2126,28673.8100,29428.7564,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,16.1792,413.44,705.2055,0.9465,0,2023-09-06 00:00:00
1694044800000,74,25759.95,26443.14,25615.38,26255.00,27687.4957,-589.4377,-589.4377,-589.4377,-670.0636,80.6259,26097.9761,26485.1982,27631.0474,28625.9128,29397.1767,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,33.5930,531.9860,685.9135,1.2068,0,2023-09-07 00:00:00
1694131200000,75,26255.00,26445.50,25647.26,25910.50,28999.7647,-565.7325,-565.7325,-565.7325,-649.1973,83.4649,26063.8895,26430.4650,27563.5749,28572.1422,29362.4834,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,21.4749,624.6340,701.83,1.1374,0,2023-09-08 00:00:00
1694217600000,76,25910.50,25945.09,25796.64,25901.61,10980.6228,-541.4221,-541.4221,-541.4221,-627.6423,86.2202,26034.3841,26380.0979,27498.3998,28519.2604,29328.0469,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,21.1622,558.9620,692.8550,0.2143,0,2023-09-09 00:00:00
1694304000000,77,25901.60,26033.66,25570.57,25841.61,18738.2691,-520.9918,-520.9918,-520.9918,-606.3122,85.3204,25999.3343,26328.8133,27433.4277,28466.2376,29293.3560,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,19.0517,581.0060,693.6885,0.6676,0,2023-09-10 00:00:00
1694390400000,78,25841.60,25900.69,24901.00,25162.52,41682.3200,-553.2204,-553.2204,-553.2204,-595.6938,42.4735,25847.1862,26217.7377,27344.3725,28400.8175,29252.2531,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,8.0670,647.4460,701.7020,1.4247,0,2023-09-11 00:00:00
1694476800000,79,25162.53,26567.00,25131.48,25840.10,56434.3854,-518.1142,-518.1142,-518.1142,-580.1779,62.0637,25845.8978,26181.7722,27285.3814,28350.1102,29218.3014,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,28.9680,768.9980,723.1555,1.9851,0,2023-09-12 00:00:00
1694563200000,80,25840.10,26405.22,25764.17,26222.00,31610.8275,-454.2399,-454.2399,-454.2399,-554.9903,100.7504,25914.2800,26185.6035,27243.6802,28307.9694,29188.4874,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,40.7483,737.56,719.5145,0.8909,0,2023-09-13 00:00:00
